Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
	AANESTAD	SAMUEL		O	CA01	2012	8/8/2012	8208918
	ADAMS	ANTHONY T.		O	CA08	2012	4/2/2012	8208047
	ADULEWICZ	CAS		D	OH06	2012	2/8/2012	8207715
	AFZALI	KATHY		O	MD06	2012	2/14/2012	8207954
	AMOUZOUVIK	CREDO COMLAN		D	TN07	2012	8/8/2012	8207540
	ANDERSON	ERIK STEVEN		O	NC03	2012	6/6/2012	8208713
	ANDERSON	LEE IVEY		O	GA12	2012	5/2/2012	8208187
	ARCHER	JOHN H.	JR.	O	IA02	2012	8/15/2012	8208533
	ARREGUIN	JUAN MANUEL		O	AZ03	2012	5/25/2012	8208627
	ASSAD	MIKE		O	NJ02	2012	4/9/2012	8208073
HONORABLE	AUSTRIA	STEVE		O	OH07	2012	8/10/2012	8207474
	AVERSA	ALAN		O	AZ02	2012	11/7/2012	8209419
	AYRES	DARREN L.		O	FL10	2012	8/3/2012	8208519
	BADEY	GEORGE J.	III	O	PA07	2012	3/23/2012	8207997
	BAILEY	CHARLES BOILEAU		D	MD06	2012	3/7/2012	8207718
	BALDWIN	WILLIAM BRET		O	TX27	2012	10/18/2012	8209223
	BARBER	RON		O	AZ08	2012	3/19/2012	8208032
	BARR	GARLAND HALE "ANDY"	IV	A	KY06	2012	12/12/2012	8209527
HONORABLE	BASS	CHARLES F.		O	NH02	2012	5/15/2012	8205358
	BAYNE	FLOYD C.		O	VA07	2012	5/16/2012	8208393
HONORABLE	BIGGERT	JUDY		A	IL13	2012	2/6/2013	8209814
HONORABLE	BISHOP	TIMOTHY H.		A	NY01	2012	5/28/2013	8212127
HONORABLE	BLACK	DIANE		A	TN06	2012	11/28/2012	8209499
	BOBKO	PATRICK "KIT"		W	CA36	2012	10/17/2012	8209285
HONORABLE	BOREN	DAN		X	OK02	2012	5/17/2012	8206879
	BOROWSKY	LISA		X	AZ09	2012	7/5/2012	8207088
HONORABLE	BRADY	ROBERT A.		O	PA01	2012	5/15/2012	8205377
	BRYAN	JAMES E.		O	FL01	2012	5/23/2012	8208631
HONORABLE	BUCSHON	LARRY		A	IN08	2012	6/5/2012	9102116
HONORABLE	BURGESS	MICHAEL C.		X	TX26	2012	5/22/2012	8206883
