Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
HONORABLE	ABERCROMBIE	NEIL		O	HI01	2008	5/15/2008	8135597
HONORABLE	BACA	JOE		A	CA43	2008	7/9/2008	8138827
HONORABLE	BACHMANN	MICHELE		O	MN06	2008	6/16/2008	8203164
HONORABLE	BERKLEY	SHELLEY		O	NV01	2008	5/9/2008	8135615
HONORABLE	BILBRAY	BRIAN P.		O	CA50	2008	5/15/2008	8135618
HONORABLE	BISHOP	SANFORD D.	JR.	O	GA02	2008	5/15/2008	8135621
HONORABLE	BONO MACK	MARY		A	CA45	2008	9/11/2008	8139224
HONORABLE	BONO MACK	MARY		O	CA45	2008	5/15/2008	8135628
HONORABLE	BOOZMAN	JOHN		O	AR03	2008	5/15/2008	8135629
HONORABLE	BRADY	KEVIN		O	TX08	2008	6/4/2008	8138006
HONORABLE	BRALEY	BRUCE L.		A	IA01	2008	3/3/2009	8139763
HONORABLE	BUCHANAN	VERN		O	FL13	2008	5/14/2008	8135640
HONORABLE	CAMPBELL	JOHN		O	CA48	2008	6/26/2008	8138786
HONORABLE	CARTER	JOHN R.		A	TX31	2008	10/29/2009	8143534
HONORABLE	CARTER	JOHN R.		O	TX31	2008	5/14/2008	8135655
HONORABLE	CASTLE	MICHAEL N.		A	DE00	2008	12/23/2008	8139573
HONORABLE	CASTOR	KATHY		O	FL11	2008	5/15/2008	8135656
HONORABLE	DRAKE	THELMA D.		O	VA02	2008	5/13/2008	8135697
HONORABLE	ESHOO	ANNA G.		A	CA14	2008	5/15/2008	8135709
HONORABLE	FALEOMAVAEGA	ENI F. H.		O	AS00	2008	5/15/2008	8135712
HONORABLE	FORBES	J. RANDY		O	VA04	2008	6/16/2008	8138626
HONORABLE	GORDON	BART		O	TN06	2008	7/15/2008	8138893
HONORABLE	HALL	JOHN J.		O	NY19	2008	8/12/2008	8139056
HONORABLE	HAYES	ROBIN		O	NC08	2008	5/15/2008	8139202
HONORABLE	ISRAEL	STEVE		O	NY02	2008	5/15/2008	8135870
HONORABLE	JORDAN	JIM		A	OH04	2008	6/18/2008	8138641
HONORABLE	KILDEE	DALE E.		O	MI05	2008	5/8/2008	8135884
HONORABLE	KILPATRICK	CAROLYN C.		O	MI13	2008	5/15/2008	8135887
HONORABLE	LAMPSON	NICK		O	TX22	2008	5/15/2008	8135898
HONORABLE	LIPINSKI	DANIEL		O	IL03	2008	5/15/2008	8135909
HONORABLE	MCCOTTER	THADDEUS G.		O	MI11	2008	5/14/2008	8135920
HONORABLE	MCGOVERN	JAMES P.		O	MA03	2008	5/15/2008	8135923
HONORABLE	MCINTYRE	MIKE		O	NC07	2008	5/15/2008	8135927
HONORABLE	MCNERNEY	JERRY		A	CA11	2008	5/14/2008	8135929
HONORABLE	MELANCON	CHARLIE		O	LA03	2008	5/15/2008	8135939
HONORABLE	MORAN	JAMES P.		O	VA08	2008	5/15/2008	8138283
HONORABLE	NUNES	DEVIN		O	CA21	2008	5/14/2008	8135963
HONORABLE	PAUL	RON		A	TX14	2008	6/17/2008	8138642
HONORABLE	PAYNE	DONALD M.		O	NJ10	2008	5/15/2008	8135972
HONORABLE	POE	TED		O	TX02	2008	5/14/2008	8135979
HONORABLE	ROGERS	HAROLD		O	KY05	2008	6/13/2008	8138498
HONORABLE	ROGERS	MIKE		O	AL03	2008	5/15/2008	8135755
HONORABLE	ROS-LEHTINEN	ILEANA		O	FL18	2008	5/15/2008	8135753
HONORABLE	RYAN	PAUL		O	WI01	2008	5/15/2008	8135760
HONORABLE	SANCHEZ	LINDA T.		A	CA39	2008	6/25/2008	8138796
HONORABLE	SENSENBRENNER	F. JAMES	JR.	O	WI05	2008	5/15/2008	8138022
HONORABLE	SMITH	LAMAR		A	TX21	2008	6/26/2008	8138805
HONORABLE	SPACE	ZACHARY T.		A	OH18	2008	5/15/2009	8140045
HONORABLE	WATSON	DIANE E.		O	CA33	2008	6/16/2008	8138633
HONORABLE	BARTLETT	ROSCOE G.		A	MD06	2008	7/31/2008	8138977
HONORABLE	BUCHANAN	VERN		A	FL13	2008	9/15/2011	8203942
HONORABLE	BURGESS	MICHAEL C.		A	TX26	2008	7/23/2008	8138936
HONORABLE	BURGESS	MICHAEL C.		O	TX26	2008	5/15/2008	8135641
HONORABLE	CHABOT	STEVE		O	OH01	2008	5/15/2008	8143341
HONORABLE	CHANDLER	BEN		O	KY06	2008	5/14/2008	8135658
HONORABLE	CHRISTENSEN	DONNA M.		O	VI00	2008	5/14/2008	8135659
HONORABLE	CRENSHAW	ANDER		O	FL04	2008	5/8/2008	8135672
HONORABLE	DEAL	NATHAN		O	GA09	2008	6/17/2008	8138640
HONORABLE	DEFAZIO	PETER A.		O	OR04	2008	4/30/2008	8135685
HONORABLE	DENT	CHARLES W.		O	PA15	2008	7/17/2008	8138891
